pednyc_number,scenario_number,recording_identifier,source_csv_path,availability_status,processing_status,failure_exclusion_reason
5,16,PedNYC5_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario16\decoded_clean_PedNYC5_scenario16.csv,available,success,
5,21,PedNYC5_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario21\decoded_clean_PedNYC5_scenario21.csv,available,success,
6,3,,,missing,not_applicable,No decoded CSV found in inventory
6,7,PedNYC6_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario7\decoded_clean_PedNYC6_scenario7.csv,available,success,
6,12,,,missing,not_applicable,No decoded CSV found in inventory
6,15,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_47_13_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-47-13_decoded.csv,available,success,
6,15,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_48_06_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-48-06_decoded.csv,available,success,
6,15,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_52_52_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-52-52_decoded.csv,available,success,
6,16,,,missing,not_applicable,No decoded CSV found in inventory
6,21,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_17_48_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario21\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-17-48_decoded.csv,available,success,
6,21,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_18_30_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario21\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-18-30_decoded.csv,available,success,
7,3,PedNYC7_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc7\scenario3\decoded_clean_PedNYC7_scenario3.csv,available,success,
7,7,PedNYC7_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc7\scenario7\decoded_clean_PedNYC7_scenario7.csv,available,success,
7,12,PedNYC7_scenario12_CSV_Scenario_Ped_12_Session_temp_2024_03_01_15_26_15_decoded,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc7\scenario12\CSV_Scenario-Ped-12_Session-temp_2024-03-01-15-26-15_decoded.csv,available,success,
